,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,,,Возраст,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,12-15,,,,,16-19,,,,,20-29,,,,,30-39,,,,,40-54,,,,,55-65,,,,
,,,,wSample,wTotal,Col % Weighted,wSample,wTotal,Col % Weighted,Row % Weighted,wAffinity,wSample,wTotal,Col % Weighted,Row % Weighted,wAffinity,wSample,wTotal,Col % Weighted,Row % Weighted,wAffinity,wSample,wTotal,Col % Weighted,Row % Weighted,wAffinity,wSample,wTotal,Col % Weighted,Row % Weighted,wAffinity,wSample,wTotal,Col % Weighted,Row % Weighted,wAffinity
Total,,Total,,7 000,"13 171,00",100,366,"688,3124",100,"5,2",100,341,"641,4239",100,"4,9",100,1 085,"2 041,15",100,"15,5",100,1 711,"3 219,46",100,"24,4",100,2 051,"3 859,49",100,"29,3",100,1 446,"2 721,15",100,"20,7",100
,,Потребление чипсов за полгода,Потребляли,3 419,"6 432,90","48,8",238,"448,2965","65,1",7,133,187,"351,1121","54,7","5,5",112,647,"1 217,41","59,6","18,9",122,1 045,"1 966,83","61,1","30,6",125,1 017,"1 913,48","49,6","29,7",102,285,"535,7748","19,7","8,3",40
,,,Не потребляли,3 581,"6 738,09","51,2",128,"240,0159","34,9","3,6",68,154,"290,3118","45,3","4,3",88,438,"823,7465","40,4","12,2",79,666,"1 252,63","38,9","18,6",76,1 034,"1 946,02","50,4","28,9",99,1 161,"2 185,38","80,3","32,4",157
,,Предпочтение вкусовых качеств чипсов,Барбекю,335,"630,9245","4,8",30,"56,8598","8,3",9,172,22,"41,1359","6,4","6,5",134,80,"150,0132","7,3","23,8",153,103,"193,2264",6,"30,6",125,75,"142,018","3,7","22,5",77,25,"47,6712","1,8","7,6",37
,,,Бекон,1 070,"2 013,65","15,3",79,"148,3158","21,5","7,4",141,62,"115,799","18,1","5,8",118,189,"355,0245","17,4","17,6",114,306,"575,4859","17,9","28,6",117,327,"615,0634","15,9","30,5",104,108,"203,9627","7,5","10,1",49
,,,Сыр,1 500,"2 822,28","21,4",88,"166,3097","24,2","5,9",113,87,"163,9405","25,6","5,8",119,305,"573,3359","28,1","20,3",131,467,"878,5208","27,3","31,1",127,452,"850,3573",22,"30,1",103,101,"189,8177",7,"6,7",33
,,,Лук,573,"1 078,08","8,2",26,"49,5838","7,2","4,6",88,37,"70,0559","10,9","6,5",133,114,"215,1582","10,5",20,129,167,"314,0946","9,8","29,1",119,191,"358,6696","9,3","33,3",114,37,"70,5198","2,6","6,5",32
,,,Грибы,663,"1 248,38","9,5",37,"69,771","10,1","5,6",107,54,"101,2012","15,8","8,1",166,139,"262,3989","12,9",21,136,206,"388,3615","12,1","31,1",127,176,"330,2521","8,6","26,5",90,51,"96,3991","3,5","7,7",37
